table_name,sensor,variable,n,min,p05,p25,median,mean,p75,p95,max,std
training_matrix_optical_matched_7d.csv,Landsat,nir,115,0.0007036485103724,0.010662800262068341,0.023236838008126252,0.0403813560945901,0.05149912278790976,0.0634959012358011,0.10475008111138782,0.5484465318181818,0.057951486701374094
training_matrix_optical_matched_7d.csv,Landsat,swir1,115,0.0008613126906819,0.0026475000000001,0.00446531594849465,0.0090752252280538,0.019818002206863885,0.0176218986723547,0.05211748345335808,0.4171458333333333,0.044118658220435494
training_matrix_optical_matched_7d.csv,Landsat,swir2,115,-0.0015543981921489,0.00170613942093086,0.0026628527931164,0.0063790873141412,0.016105275781309176,0.015330847643160849,0.04195599999999997,0.3800238888888888,0.0394138284230432
training_matrix_optical_matched_7d.csv,Landsat,ndwi,115,-0.3412615358829498,-0.06131492980833113,0.0876850221137089,0.1624658932281462,0.1845213119367507,0.2727827938557031,0.50389929863886,0.9257133182180054,0.17478253820808048
training_matrix_optical_matched_7d.csv,Landsat,mndwi,115,-0.1830910295248031,0.0675878353872264,0.42739898941956866,0.744840236040639,0.6246797770162522,0.8433343024954938,0.9024518802761251,0.9590055108609776,0.2763038390020828
training_matrix_optical_matched_7d.csv,Landsat,red_green_ratio,115,0.4730106574798567,0.7501656758135139,0.9573551112908637,1.0487588836745003,1.0297471543695595,1.1232182066461027,1.2054457964276224,1.3632651528046675,0.14062131356120242
training_matrix_optical_matched_7d.csv,Landsat,green_blue_ratio,115,-1.8659522998192088,0.9103508020556105,1.1242812820275114,1.3316455140660015,1.3392277466841205,1.4327690555822468,2.27204921406939,3.612670674735704,0.5931207479658156
training_matrix_optical_matched_7d.csv,Sentinel-2,blue,36,0.0126978817169368,0.031030550032493276,0.06927500000000048,0.10448076923076921,0.21316434596582143,0.20505,0.6844571428571429,1.298567844563118,0.2709438049078708
training_matrix_optical_matched_7d.csv,Sentinel-2,green,36,0.0200221379906211,0.03259036292718125,0.06544089599385758,0.09591117871770424,0.1962774978968448,0.19169999999999998,0.6428333333333334,0.9822095258255716,0.2243131294476223
training_matrix_optical_matched_7d.csv,Sentinel-2,red,36,0.0171026250638461,0.04164205939617007,0.0721451294188117,0.10375659309086765,0.19019454395327878,0.201175,0.7118800000000001,0.8141852271281331,0.21468939425630645
training_matrix_optical_matched_7d.csv,Sentinel-2,nir,36,0.0014643296186185,0.018582445764071576,0.04972101296296287,0.08685592480863144,0.17842123033847979,0.21951051805337513,0.6082304195804196,0.9208,0.21819031427208543
training_matrix_optical_matched_7d.csv,Sentinel-2,swir1,36,0.0001087005314367,0.000905623142072825,0.01082196775375595,0.0440799999999999,0.07794050708301341,0.0944140199623022,0.25629708546948515,0.306,0.08834972481820977
training_matrix_optical_matched_7d.csv,Sentinel-2,swir2,36,0.000717817711853,0.0010350295814759252,0.00918105087556885,0.0397269506866417,0.07313469280117421,0.0885557194121729,0.2662420676004872,0.2994,0.08786663130619415
training_matrix_optical_matched_7d.csv,Sentinel-2,ndwi,36,-0.1878272251308901,-0.1302864151686452,0.01038480554774705,0.07629198597609715,0.1288618609629746,0.189072035337785,0.5590777237974796,0.8554780752723878,0.2196659417869789
training_matrix_optical_matched_7d.csv,Sentinel-2,mndwi,36,-0.2304817937144249,0.02820496692664967,0.2085270625571793,0.47215183395820143,0.4945028497228808,0.8276643720707348,0.9649794936397984,0.9904057743696292,0.35225364458770925
training_matrix_optical_matched_7d.csv,Sentinel-2,red_green_ratio,36,0.7586613505770644,0.8189960333495487,0.8928080326892885,0.9536347513320469,0.9972255950963846,1.1407245832462911,1.1966866699789231,1.3476717661601354,0.14184518203937885
training_matrix_optical_matched_7d.csv,Sentinel-2,green_blue_ratio,36,0.5116749268974948,0.7382131519014765,0.8896013679552663,0.9728899463371498,1.061140732343323,1.1686801484922782,1.5592330415726272,2.576833152381195,0.3481719153204887
training_matrix_optical_matched_3d_hls.csv,HLS,blue,19,-1.3100000000000002e-06,3.7792036339826545e-07,1.162641800246609e-06,2.7312262534318543e-06,3.35253048700454e-06,5.152867006052177e-06,7.0059999999999885e-06,1.21e-05,3.0671641175142686e-06
