dataset_id,window,sensor_scope,comparison_feature_set,feature_set,model_id,validation_scheme,season_window,n_test_total,n_folds,n_train_total,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,linear_regression,river_year_groupkfold,early_season,61,5,,2.8679817764474347,2.0702186046178492,1.2404519006426256,0.5797276091654382,0.03601721138025467,-0.5354665231248124,0.8071984992384166,0.7636365542028141
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,linear_regression,river_year_groupkfold,late_season,31,5,,2.3916433102579564,1.8067993326853358,1.2093086709555738,-0.9633587949059841,0.45048935294389997,0.21289386934931187,0.4483663132040753,0.4074287095679222
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,linear_regression,river_year_groupkfold,spring_freshet_provisional,85,5,,2.7927093211821434,1.9647375416441692,1.1730609742512854,0.5799792713499046,-0.04519266414314006,-0.4187484732072573,0.8071163021207297,0.7635048864596536
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,linear_regression,river_year_groupkfold,summer,47,5,,2.322661174404965,1.696479716247715,1.2487989659891081,0.5675348632695812,-0.1093400656878769,-0.3023191381000352,0.7767658449917304,0.7556936095406461
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_0.1,leave_one_river_out,early_season,61,6,,3.434762885632494,2.870314388087158,3.025475779826804,0.3972022692950671,-0.07273219781165532,-0.5691697116073993,0.5932272953155379,0.6337606144231447
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_0.1,leave_one_river_out,late_season,31,6,,2.4431339245247856,1.968052188832744,1.777000252407734,-1.0488086626051358,-0.11082841386187609,-0.7695675093929486,0.22246875549441972,0.1661176290669029
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_0.1,leave_one_river_out,spring_freshet_provisional,85,6,,3.3906580864503786,2.8051624425919672,2.509019599540557,0.38086229865579346,-0.03612901331265318,-0.5691697116073993,0.5854380781337745,0.6215875042382748
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_0.1,leave_one_river_out,summer,47,6,,3.216478747924212,2.676641465441087,2.2949371836348593,0.17064445183522825,0.23868972223384166,-0.15545705663355225,0.5342469769879101,0.46958965523749724
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_0.1,leave_one_year_out,early_season,60,17,,2.756814928185508,1.9904659750943192,1.3589810274518486,0.6147927200680268,0.05669393371921029,-0.34530282191712214,0.8210593711291749,0.78420344252835
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_0.1,leave_one_year_out,late_season,31,14,,1.662470775221269,1.330225430015702,0.8963438807573221,0.05133059998859757,0.2152441754788537,0.2672541940045541,0.5774506318953071,0.6078856007081322
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_0.1,leave_one_year_out,spring_freshet_provisional,84,17,,2.646323569491648,1.861200234832228,1.1868494152914186,0.6239728155589566,-0.023089337163232887,-0.35783494688480566,0.8228920959518189,0.7899393039425688
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_0.1,leave_one_year_out,summer,46,16,,2.1941414604879794,1.5916832559678185,0.9996530756079309,0.6210533524477783,-0.047968872268969315,-0.15627200399527874,0.798889755064796,0.7883271996544289
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_0.1,river_year_groupkfold,early_season,61,5,,2.780479808808627,2.009434780622747,1.2319658293864375,0.6049813712265686,0.021862511099025563,-0.4480771415717335,0.8062729038685857,0.7781024146834719
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_0.1,river_year_groupkfold,late_season,31,5,,2.007469418110625,1.594716398216491,1.1591267018299458,-0.38326290038760713,0.2776407832349404,0.11359976405866057,0.4743848711902768,0.49470414286064796
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_0.1,river_year_groupkfold,spring_freshet_provisional,85,5,,2.698078352122905,1.890299274690801,1.1198106906191443,0.6079618151600124,-0.04675339122228433,-0.34674904633173753,0.8142892793913358,0.7800997902820634
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_0.1,river_year_groupkfold,summer,47,5,,2.2427973113772697,1.6248741492743366,1.2126772196667717,0.5967638724122952,-0.09835216957807227,-0.21098677218923356,0.7773440969421449,0.7737518189857967
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_1,leave_one_river_out,early_season,61,6,,3.4374602110899466,2.871617192795232,2.9331852907439453,0.39625514127118944,-0.12002159621901612,-0.751397518637031,0.5898422608201567,0.6309314679146861
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_1,leave_one_river_out,late_season,31,6,,2.3689042067837955,1.9231327625622514,1.7218256920697446,-0.9262020983632626,-0.25420097561109856,-0.851575707070217,0.21823317628736366,0.1661940081537937
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_1,leave_one_river_out,spring_freshet_provisional,85,6,,3.36972512956672,2.8086607507408257,2.4961375704553586,0.3884834598714718,-0.09197203151989038,-0.751397518637031,0.5827897445638368,0.6249266285168485
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_1,leave_one_river_out,summer,47,6,,3.165340356672963,2.6899660475097864,2.454143466550807,0.19680645134157138,0.16927223265175745,-0.5884140722203206,0.5304883393102162,0.4823739017471835
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_1,leave_one_year_out,early_season,60,17,,2.7517490779057665,1.9845787991142805,1.3330198090768302,0.6162071127892175,0.060726894889681124,-0.3197915262451132,0.8191974324638964,0.7853671225794819
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_1,leave_one_year_out,late_season,31,14,,1.593468790569622,1.2684710469584806,1.087196438282568,0.12844664901069958,0.13958659416361632,0.20200574082653322,0.5917709235001155,0.6205549940698003
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_1,leave_one_year_out,spring_freshet_provisional,84,17,,2.609398384813361,1.8324175923861379,1.1707793428171396,0.6343933120267832,-0.01281593938648665,-0.3088450770281199,0.8254133851664175,0.7968596259417556
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_1,leave_one_year_out,summer,46,16,,2.097016682120523,1.5218650779899978,1.0025555746800254,0.6538593601231701,-0.03915439666679204,-0.17748740188815892,0.8074017058213541,0.8087920227871752
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_1,river_year_groupkfold,early_season,61,5,,2.7466059859879346,1.968221526354749,1.1911570013039796,0.6145475502337785,0.045894957418592085,-0.43005273174324543,0.8092612546340394,0.7841696706862538
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_1,river_year_groupkfold,late_season,31,5,,1.8020839508939812,1.4303569072969187,1.0966704806575267,-0.1146971509615522,0.1695390303178671,0.10500271977388831,0.5054457853753543,0.5479917622290238
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_1,river_year_groupkfold,spring_freshet_provisional,85,5,,2.6244855241271954,1.8385771417942847,1.1153168055325215,0.6290566256981722,-0.02609947918454209,-0.3670907596700008,0.8219801964376122,0.793304979896238
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_1,river_year_groupkfold,summer,47,5,,2.1105200059020404,1.54707498299829,1.2419608582296444,0.6429259180347197,-0.0942464845615131,-0.2126137358878495,0.8008789513240129,0.8022782207663915
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_10,leave_one_river_out,early_season,61,6,,3.5906380994432925,2.9915138772051995,2.661637126157979,0.34124889716054596,-0.09212544487924329,-0.7403291189390622,0.52457456445609,0.5869976964713736
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_10,leave_one_river_out,late_season,31,6,,2.168432416478508,1.7915738391412368,1.4778589591524112,-0.6139818083969646,-0.37697144291257495,-1.1560432746327152,0.18313837714318504,0.14389534847053767
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_10,leave_one_river_out,spring_freshet_provisional,85,6,,3.476306694552811,2.900523241889731,2.5401006052941053,0.3491881912972489,-0.14528656614367008,-0.8249465493989678,0.5400743717439205,0.5936176770548692
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_10,leave_one_river_out,summer,47,6,,3.119065869388594,2.6799502819967396,2.683584978038313,0.2201187580114926,-0.11219851183521974,-0.8939635811639182,0.5377743138854383,0.48399616431888787
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_10,leave_one_year_out,early_season,60,17,,2.8721318627289234,2.106236866690675,1.464907541583016,0.5818924475739993,0.14564836373645393,-0.5617210826381065,0.7987161071458324,0.7729187295510003
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_10,leave_one_year_out,late_season,31,14,,1.5759961679403416,1.2052779137572467,1.0128219001858687,0.1474552828526473,0.023503415667305152,-0.1026429715813002,0.5429609154949936,0.5661604610547878
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_10,leave_one_year_out,spring_freshet_provisional,84,17,,2.710512086473873,1.9273417717958208,1.3147225891233376,0.6055099538096232,0.03255703617839016,-0.43382516510570657,0.8148928249496785,0.7872462955674376
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_10,leave_one_year_out,summer,46,16,,2.164806040799938,1.5961406011175883,1.2690842181261952,0.6311185607172356,-0.11017453210663057,-0.30740376561340055,0.8183808886812625,0.7989176331072428
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_10,river_year_groupkfold,early_season,61,5,,2.891245050965029,2.1352914837298145,1.3698389423637387,0.5728819840094005,0.19781807356374007,-0.7171994079522346,0.7995028348778236,0.770528141745541
any_sensor_3d,3d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_10,river_year_groupkfold,late_season,31,5,,1.6677969432792112,1.299374934807616,1.0457969558557192,0.04524223238175429,0.02902394359283749,-0.10546984301668338,0.4969746269612422,0.517694803603578
