dataset_id,window,sensor_scope,comparison_feature_set,feature_set,model_id,validation_scheme,group_type,group_value,n,rmse,mae,median_absolute_error,r2,bias_mean,bias_median,spearman_r,pearson_r,p05_residual,p95_residual,flags
any_sensor_0d,0d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_100,leave_one_year_out,sensor,HLS,15,2.8795793411623314,2.2293913956365916,1.9620011960651658,0.5508925731339758,-0.1932294460366801,-1.1962326165095059,0.89544271680834,0.8628096214215477,-3.6918501654533684,4.6652608447363555,
any_sensor_0d,0d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_100,leave_one_year_out,sensor,Landsat,30,3.9572451706290996,2.815001381397909,2.0440191388624713,0.3059370061116623,0.4530071018429766,-0.734852103821868,0.8050301264964647,0.6963763885863982,-3.4472917017009266,8.350160877638272,
any_sensor_0d,0d,any_sensor,O4_bands_indices,O4_bands_indices,ridge_alpha_100,leave_one_year_out,sensor,Sentinel-2,28,2.5058641567353734,2.0161219094413814,1.8166106228084842,0.19509898560935035,-0.19486813165076575,-0.9005459501524458,0.3722967563530451,0.44745796676230537,-2.8746750454859447,5.325201244188628,
any_sensor_0d,0d,any_sensor,O5_sensor_aware_any_sensor,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,sensor,HLS,15,1.8428386970838027,1.5027539185753895,1.17924777064583,0.8160639799048733,0.4448015971135926,0.36470881282084466,0.7989279329607344,0.9097572157896244,-1.8902063502833444,2.951474944856323,
any_sensor_0d,0d,any_sensor,O5_sensor_aware_any_sensor,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,sensor,Landsat,30,2.4367140771077103,1.7035032430640622,1.1704996211298655,0.736838642339896,0.24940882756115995,-0.14641563157325077,0.894725216620345,0.8642380625297561,-2.443663102130357,5.2812992214375765,
any_sensor_0d,0d,any_sensor,O5_sensor_aware_any_sensor,B0_F3_same_subset,ridge_alpha_1,leave_one_year_out,sensor,Sentinel-2,28,2.044967350913286,1.4519111516012073,0.9662433336415934,0.46395631540308435,-0.3712985014232629,-0.2689658628910885,0.67807284226948,0.7430187268154728,-3.757649487822332,2.0051497030433763,
any_sensor_0d,0d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,linear_regression,leave_one_year_out,sensor,HLS,15,2.0041388793631603,1.654664750941961,1.8926271342556156,0.7824556716620185,0.032076818333515104,0.22597334540090586,0.7989279329607344,0.896573771755731,-2.7618842731259754,2.9096353785074855,
any_sensor_0d,0d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,linear_regression,leave_one_year_out,sensor,Landsat,30,2.598657215992063,1.8822154051688527,1.4840378897036233,0.7006970713689388,0.14791147083322526,-0.05123662285153019,0.8958380589295744,0.8377110572339092,-3.4740950681378924,4.771907582968048,
any_sensor_0d,0d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,linear_regression,leave_one_year_out,sensor,Sentinel-2,28,2.718617980439461,2.029852062640495,1.8809224761143972,0.052620907181691656,-0.13686584852428987,-0.053616292177332214,0.5217629541241942,0.5893837071329172,-3.899510388029428,4.439500857480376,
any_sensor_0d,0d,any_sensor,O5_sensor_aware_any_sensor,O5_sensor_aware_any_sensor,ridge_alpha_0.1,leave_one_year_out,sensor,HLS,15,1.9230109950482162,1.6377255603370893,1.6436456342851251,0.7997116570751437,0.042151919081366264,0.31128388165039045,0.823950284328632,0.9076678642509294,-2.7348838128725546,2.7230742259876095,
