river,year,annual_flux_TgC,annual_flux_90_lower_TgC,annual_flux_90_upper_TgC,may_july_flux_TgC,may_july_flux_90_lower_TgC,may_july_flux_90_upper_TgC,may_july_flux_fraction_of_annual,annual_confidence_tier,may_july_confidence_tier,cohort_core_2003_2024,cohort_high_confidence_only,cohort_sensitivity_only,cohort_exclude_from_trend,caveat_reason
Ob,2017,4.661911721049173,3.309588241029765,6.505887333515209,2.522128979385972,1.8327461211916125,3.4621445872967995,0.5410074515135522,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Ob,2018,4.471495130533907,3.1825486276847728,6.229052366020994,2.1347209132445077,1.549641681239227,2.932512160027127,0.4774065163724368,medium,low,True,False,False,False,annual:large_logQ_or_doy_extrapolation_day_count;may_july:may_july_low_confidence_flux_fraction_ge_0_25;may_july_confidence_tier_low
Ob,2019,4.425031253665647,3.1255743454511484,6.196920068436254,2.2484701742407074,1.622295512984477,3.102297547321665,0.50812526405957,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Ob,2020,4.689206590767031,3.317665179769348,6.559387025207679,2.7977779365601854,2.036783671687895,3.835440068723182,0.5966420720445466,medium,medium,True,False,False,False,annual:large_logQ_or_doy_extrapolation_day_count
Ob,2021,3.763209051739778,2.619418663087434,5.322837065014902,2.112710711186241,1.5097049727062148,2.9349458438027964,0.5614119976166375,high,high,True,True,False,False,provisional_may_july_core_interpretation_allowed
Ob,2022,3.695153207425641,2.5835972858366585,5.210827557229044,2.342508210336028,1.694397233453497,3.2262470887926638,0.6339407539661986,high,high,True,True,False,False,annual:outside_training_year_range
Ob,2023,3.188036330702168,2.1909313074408945,4.5476498944145884,1.788651775247783,1.2694249638175623,2.4966492268649705,0.5610512521523965,high,high,True,True,False,False,annual:outside_training_year_range
Ob,2024,5.013147175459088,3.603704373239977,6.935008470376877,2.5096806241289187,1.8299080100618192,3.4365920775513112,0.5006197776148653,medium,low,True,False,False,False,annual:large_logQ_or_doy_extrapolation_day_count;outside_training_year_range;may_july:may_july_low_confidence_flux_fraction_ge_0_25;may_july_confidence_tier_low
Ob,2025,4.81577834250235,3.4527833487141675,6.674305215394209,2.7401202274749137,2.002082631450525,3.7464795403609856,0.5689880290568163,low,low,False,False,True,False,annual:outside_core_2003_2024_period;low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low;large_logQ_or_doy_extrapolation_day_count;outside_training_year_range;may_july:annual_year_not_in_core_cohort;may_july_low_confidence_flux_fraction_ge_0_25;may_july_confidence_tier_low
Yenisey,2000,3.987191525016431,3.134004030068409,5.117773256644044,3.1479020284313184,2.5618413013555767,3.924506884432632,0.7895035913576652,low,low,False,False,True,False,annual:outside_core_2003_2024_period;low_confidence_flux_fraction_ge_0_25;annual_confidence_tier_low;outside_training_year_range;may_july:annual_year_not_in_core_cohort;may_july_low_confidence_flux_fraction_ge_0_25;may_july_confidence_tier_low
